movie_id,original_title,overview,production_companies,cast_ids,director_id,similar_movie_ids
100,"Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,"[491, 1382, 13419, 20076, 21920]","[    957     973     974     975     976     978     980     982     984
     985     986     987     988     989     990     992     993     994
     995    1116    4317    4318   17290   47632   67214   76945  115787
  192943  236388 1473866 2638789]",956,"[81446, 86838, 77016, 71186, 110415, 157424, 107811, 104859, 9367, 9394, 9495, 9506, 9542, 9571, 9584, 13168, 12721, 14211, 8741, 8848, 8871, 8960, 10634, 10669, 10772, 10995, 9792, 9003, 9871, 9659, 10779, 11075, 10243, 10331, 11282, 10536, 10537, 2118, 1878, 1923, 345, 348, 14, 18, 62, 63, 77, 78, 107, 114, 115, 136, 137, 141, 149, 161, 170, 176, 185, 201, 8009, 8068, 8069, 141733, 171274, 451, 475, 500, 550, 2493, 3600, 4507, 3604, 2662, 4638, 5336, 11427, 11474, 12207, 11906, 11929, 11986, 10802, 12101, 12104, 12105, 11880, 12262, 11827, 11837, 17899, 924, 935, 938, 948, 949, 975, 984, 985, 994]"
101,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","[9, 66743]","[     64     524    1003    1004    1005    1006    1007    1008    1010
    2701    7037   13420   17926   20666   20914   28037   55275   58533
   60638   64210   65831   69803   94435   95499  122230  136183  138401
  159887  176958  185351  185391  225004  246297  564101  585700  614230
  977543 1171233 1171240 1240453 1316938 1379154 1392772 1521740 1542400
 1684441 1684448 1684467 1684468 1684469 1684470 1684471 1684474 2312451]",59,"[77, 78, 79, 95, 98, 103, 107, 111, 115, 120, 136, 137, 141, 146, 149, 150, 153, 154, 155, 162, 76812, 60672, 59440, 68590, 67398, 77949, 82693, 82702, 79509, 75656, 103620, 102362, 37821, 33542, 35056, 27324, 27414, 37257, 40108, 40149, 39456, 31383, 30497, 22832, 22855, 22897, 25627, 24122, 24150, 26466, 33196, 28355, 25853, 37430, 36586, 36599, 37645, 37725, 24922, 29756, 21683, 21733, 24873, 23631, 23742, 30131, 32985, 33408, 31867, 34583, 34647, 27769, 25239, 23437, 23483, 27576, 27579, 27582, 25376, 25473, 9539, 9542, 9563, 9569, 9584, 9592, 9594, 10007, 10027, 10028, 10053, 10054, 10060, 10063, 10065, 10066, 10072, 10096, 10134, 10135]"
103,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"[5, 46059, 46060]","[     13     380    1032    1036    1037    1038    1039    1040    1041
    1042    1043    2561    4204   11483   12433   16525   18855   26874
   71813   76155   77255   84684   88161  101977  127738  169093  170830
  194066  954132 1006721 1213088 1221450 1274408 1274409 1422613 1521767
 1565149 1766535 1791223 1941423 1946280 2059518 2147740 2304629 2340530
 2590628 2848152 3310349 3727638 3727640 3727652 3727653 3727656 3727661]",1032,"[77, 78, 87, 96, 98, 103, 107, 111, 115, 120, 121, 122, 150, 155, 164, 170, 176, 179, 180, 184, 82507, 82525, 82675, 110415, 127493, 133805, 118379, 146198, 146233, 158011, 97020, 104755, 102362, 102382, 109428, 97630, 98566, 97430, 9366, 9373, 37645, 38050, 37094, 24922, 24593, 26389, 24873, 23629, 23631, 23742, 23759, 28676, 27066, 32985, 33408, 31867, 34647, 23483, 27576, 25473, 22804, 36095, 38842, 38357, 36647, 36648, 41439, 40805, 44214, 49012, 49021, 49022, 49026, 48393, 47327, 49526, 49527, 50270, 48138, 51876, 52629, 51608, 57431, 52274, 38410, 38541, 42941, 42968, 60304, 60405, 59108, 109428, 118379, 122081, 110415, 127493, 77663, 157845, 156022, 133805]"
104,Lola rennt,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.","[46, 96]","[    677     679    1081    1082    1083    1084    1086    1087    1088
    3702    3703    3704    3705    3706    3707    3708   13741   16782
   46198  142653 1032959 1194754 2068073]",1071,"[88, 95, 104, 170, 184, 194, 203, 241, 242, 275, 277, 297, 298, 451, 503, 524, 525, 539, 907, 921, 8848, 8967, 7345, 10674, 10735, 9778, 9016, 9896, 9040, 11576, 9654, 9671, 10779, 10999, 11033, 10320, 11178, 11357, 2112, 1878, 74, 88, 95, 104, 170, 184, 194, 203, 241, 242, 275, 277, 297, 298, 451, 503, 524, 525, 539, 2502, 9896, 9315, 9316, 9335, 9350, 9352, 9353, 9358, 9386, 9443, 8967, 7345, 8555, 8649, 8688, 9654, 9671, 9040, 8457, 2005, 10357, 10367, 10488, 9654, 9671, 13809, 15371, 13765, 10144, 10152, 10155, 10160, 8967, 7345, 8555, 8649, 8688, 13969, 12085, 13515]"
105,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","[33, 56]","[    521    1062    1063    1064    1065    1066    1067    1068    1069
    1070    1072    1074    1261    1953    1954    3038    7036    7139
    9971   11673   18708   21065   54564   77874   84494   94500   97708
   97718   99725  100600  129319  139044  158713  160343  168702  172280
  175060  180468  184030  238572  553735  964124 1020340 1116544 1200788
 1200791 1200792 1200793 1200794 1200796 1200797 1208039 1212833 1884036
 2333453 2749693 2749694 2749695]",24,"[80987, 97630, 98566, 83542, 86829, 87093, 87101, 81393, 61979, 62213, 59436, 82992, 77950, 82690, 82703, 72013, 33542, 41154, 26648, 28510, 558, 562, 568, 920, 954, 4477, 4488, 5123, 5176, 4244, 6916, 6795, 7551, 7980, 8068, 8092, 8845, 6589, 7459, 4977, 392, 18, 19, 63, 69, 70, 612, 621, 644, 664, 672, 673, 691, 707, 746, 2320, 1406, 1493, 1499, 2118, 9615, 9624, 9667, 9671, 9679, 9718, 10999, 10787, 10796, 10225, 10246, 10348, 11198, 11205, 11228, 11324, 10538, 10559, 2118, 2134, 869, 871, 1535, 1562, 1621, 1648, 1649, 1265, 1267, 392, 18, 19, 63, 69, 70, 78, 95, 105, 141, 162]"
106,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,"[25, 840, 1302, 1885, 5263, 5264, 124763]","[   1100    1101    1102    1103    1104    1105    1106    1107    1108
    1109   19540   20761   24969   35710   72258  176448 1412253]",1090,"[97370, 98566, 98567, 76341, 84226, 87827, 88751, 86828, 86834, 87421, 72710, 80274, 99861, 100402, 87101, 101299, 91314, 63197, 65759, 60747, 6171, 6283, 8337, 8355, 8358, 8373, 6795, 8077, 8078, 8741, 8814, 8836, 4858, 7191, 7442, 7450, 7453, 6312, 4961, 348, 87101, 99861, 101299, 109414, 109417, 109424, 91314, 100402, 102899, 109445, 98566, 98567, 97370, 100241, 114478, 9360, 9362, 9386, 9392, 9426, 44912, 44943, 40805, 44115, 44132, 49051, 49049, 43933, 47933, 46261, 49521, 49529, 49953, 50135, 50321, 50357, 53182, 52451, 51876, 57165, 118957, 124470, 8741, 8814, 8836, 8869, 8914, 8975, 8978, 7305, 10706, 10973, 9599, 9793, 9825, 9849, 9016, 9035, 9042, 11678]"
107,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","[5, 13419]","[    287     956     973     976     980    1115    1116    1117    1118
    1119    1120    1121    1122    1123    1124    1125    2302    2627
   17072   30323   30450   34515   40651   55624   60348   83838  120916
  167122  199104  210485  554285  555144  555146  933883  962343 1071612
 1123329 1221763 1340211 1362561 1380903 1473866 1504366 1646438 1817390
 1836529 1892745 1901415 1901416 1901417 1901418 1901423 1901426 1901427
 1901428 1901429 1901430 1901432 1901433 1901434 1901435 1901436 1901437
 1901438 1901439 2331437 2510041]",956,"[77, 78, 87, 88, 96, 98, 103, 107, 111, 115, 117, 120, 121, 122, 136, 137, 141, 149, 150, 161, 167, 170, 176, 185, 186, 203, 205, 214, 215, 240, 241, 242, 253, 280, 479, 500, 524, 531, 550, 588, 598, 600, 921, 935, 948, 949, 955, 979, 985, 1103, 4478, 4348, 6977, 6978, 8290, 8292, 8321, 8337, 8367, 8386, 10137, 10400, 10155, 10185, 13804, 13805, 13885, 15322, 15357, 15417, 13190, 13199, 12721, 13971, 13333, 14245, 122081, 8810, 8848, 8871, 393, 402, 414, 431, 18, 24, 59, 62, 63, 65, 70, 623, 624, 627, 634, 638, 643, 646, 650, 657]"
111,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",[33],"[   1158    1159    1160    1161    1162    1163    1164    1165    1166
    1167    1168    1169    1170    1171    1172    1173    1466    2518
    8657   11091   11901   12411   16563   24969   32396   44050   45463
   47463   48136   52144   54864   60196   66585   78498   88965   94893
  100260  102634  103795  107982  139931  152704  152706  152888  153686
  156019  160253  160335  163459  194092  198980  538318  932922 1178618
 1216866 1217468 1225345 1228412 1228651 1360853 1378434 1614584 2538667
 2919665 3147800 3254080 3254083 3254095 3254097 3254102 3254103]",1150,"[81446, 73861, 76812, 86825, 86838, 87516, 77663, 71689, 87827, 70074, 74997, 76617, 72571, 76163, 65496, 71859, 71186, 70578, 82507, 82525, 82633, 82675, 82682, 82702, 110415, 136735, 138376, 137227, 138843, 144336, 124905, 133805, 157433, 137094, 134374, 146198, 146239, 158011, 97020, 106646, 37430, 36586, 37645, 37094, 24922, 24528, 26736, 21733, 24873, 23629, 23631, 23759, 28676, 32985, 35558, 35690, 27769, 23437, 23483, 27576, 4413, 4442, 4476, 5123, 4347, 6933, 6977, 6283, 8273, 8292, 8392, 8398, 6878, 7516, 7552, 7972, 7978, 7980, 8051, 8068, 10066, 10351, 10127, 10134, 10135, 10137, 10185, 10439, 10461, 10200, 13804, 13805, 13812, 13885, 15322, 15357, 13161, 13190, 13199, 12700]"
114,Pretty Woman,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.","[9195, 10282]","[    747    1201    1204    1205    1206    1208    1209    1210    1211
    1212    1219    1220    4046    5587    8189   11519   18304   31471
   39568   42162   64033   83056   83070  105641  107361  114512  129430
  129463  154178  154917  159555  178173  192097  193048  198232  303542
  549087  976509 1002037 1199074 1211994 1214024 1219373 1234940 1236017
 1417415 1492543 1500973 1652467 1689062 1708684 1708688 1708724 1733412
 1779786 1911703 2022773 2361363 2411311 2414049 2414051 2414055 2414061
 2414073 2533984 2533987 2534001 2534002]",1201,"[77, 78, 88, 90, 96, 114, 115, 128, 143, 169, 175, 184, 196, 207, 218, 235, 244, 251, 451, 496, 37247, 41216, 30575, 22897, 26648, 31587, 36593, 37710, 38050, 37135, 37137, 37094, 37136, 21705, 28178, 32856, 34647, 27579, 27582, 25475, 10009, 10020, 10061, 10068, 10357, 10166, 10191, 10471, 15157, 13920, 12702, 13691, 14128, 120467, 8703, 8835, 8839, 8859, 8960, 7303, 7350, 10625, 10634, 10637, 10678, 10723, 10996, 11003, 9759, 9766, 9007, 9603, 9618, 9654, 9671, 9732, 9738, 10999, 10796, 11033, 11041, 10216, 10239, 10253, 11114, 11224, 11231, 11260, 11247, 10521, 10527, 10538, 10545, 2109, 2112, 2140, 1830, 1885, 1904, 2898]"
115,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.","[37, 1382, 10163]","[     53     856     884    1229    1230    1231    1232    1233    1234
    1235    1236    1237    1238    1239    1240    1241    1242    4253
    4510    4771    6329   11207   16431   16662   41517   58565   60275
   66210  116907  132232  154207  154693  162235  169920  177164 1000228
 1325966 1433893 1559637 1667649]",1223,"[74513, 86838, 81446, 104859, 62215, 82675, 82682, 79509, 77016, 27352, 37247, 40132, 30497, 25627, 28609, 36955, 37021, 36593, 37645, 37137, 37169, 37094, 37136, 32856, 31867, 34583, 34647, 25239, 25676, 27576, 25376, 27205, 36095, 36685, 42297, 56292, 44943, 50646, 47327, 51608, 42684, 127493, 157424, 146233, 166666, 141733, 171274, 165864, 158011, 1694, 754, 759, 762, 763, 764, 765, 766, 793, 795, 807, 8069, 8077, 8848, 6466, 6073, 6075, 8224, 4960, 4995, 306, 319, 320, 345, 348, 388, 402, 414, 435, 5, 13, 11212, 11231, 11282, 11319, 11324, 10536, 10537, 10538, 2109, 2112, 2118, 2163, 1878, 1885, 1923, 619, 622, 623, 624, 627]"
