source,target,type
100,107,same_cast
100,423,same_cast
100,455,same_cast
100,628,same_cast
100,747,same_cast
100,768,same_cast
100,814,same_cast
100,834,same_cast
100,841,same_cast
101,134,same_cast
101,155,same_cast
101,186,same_cast
101,205,same_cast
101,207,same_cast
101,240,same_cast
101,272,same_cast
101,274,same_cast
101,311,same_cast
101,319,same_cast
101,379,same_cast
101,397,same_cast
101,401,same_cast
101,402,same_cast
101,549,same_cast
101,557,same_cast
101,591,same_cast
101,607,same_cast
101,620,same_cast
101,673,same_cast
101,674,same_cast
101,675,same_cast
101,752,same_cast
101,772,same_cast
101,819,same_cast
101,820,same_cast
101,858,same_cast
101,923,same_cast
101,925,same_cast
101,929,same_cast
101,949,same_cast
101,954,same_cast
103,117,same_cast
103,184,same_cast
103,203,same_cast
103,238,same_cast
103,240,same_cast
103,242,same_cast
103,262,same_cast
103,274,same_cast
103,311,same_cast
103,319,same_cast
103,380,same_cast
103,388,same_cast
103,479,same_cast
103,500,same_cast
103,524,same_cast
103,586,same_cast
103,620,same_cast
103,635,same_cast
103,680,same_cast
103,686,same_cast
103,693,same_cast
103,703,same_cast
103,713,same_cast
103,755,same_cast
103,769,same_cast
103,819,same_cast
103,949,same_cast
104,192,same_cast
104,409,same_cast
104,424,same_cast
104,612,same_cast
104,853,same_cast
105,141,same_cast
105,157,same_cast
105,165,same_cast
105,189,same_cast
105,196,same_cast
105,213,same_cast
105,235,same_cast
105,239,same_cast
105,248,same_cast
105,462,same_cast
105,483,same_cast
105,510,same_cast
105,522,same_cast
105,568,same_cast
105,574,same_cast
105,595,same_cast
105,597,same_cast
105,621,same_cast
105,680,same_cast
105,695,same_cast
105,744,same_cast
105,759,same_cast
105,770,same_cast
105,786,same_cast
105,790,same_cast
105,840,same_cast
105,856,same_cast
105,860,same_cast
105,922,same_cast
105,927,same_cast
105,976,same_cast
105,982,same_cast
106,111,same_cast
106,150,same_cast
106,169,same_cast
106,218,same_cast
106,280,same_cast
106,296,same_cast
106,330,same_cast
106,415,same_cast
106,581,same_cast
106,609,same_cast
106,840,same_cast
106,861,same_cast
106,865,same_cast
106,927,same_cast
106,941,same_cast
106,943,same_cast
106,951,same_cast
107,100,same_cast
107,116,same_cast
107,155,same_cast
