source,target,type
100,107,same_director
103,203,same_director
103,262,same_director
103,524,same_director
103,769,same_director
105,165,same_director
105,196,same_director
105,686,same_director
105,856,same_director
106,562,same_director
106,913,same_director
107,100,same_director
111,117,same_director
111,954,same_director
115,134,same_director
115,275,same_director
115,290,same_director
115,378,same_director
115,379,same_director
116,512,same_director
116,696,same_director
116,703,same_director
117,111,same_director
117,954,same_director
118,162,same_director
118,268,same_director
118,364,same_director
118,522,same_director
118,587,same_director
118,869,same_director
120,121,same_director
120,122,same_director
120,254,same_director
121,120,same_director
121,122,same_director
121,254,same_director
122,120,same_director
122,121,same_director
122,254,same_director
134,115,same_director
134,275,same_director
134,290,same_director
134,378,same_director
134,379,same_director
143,299,same_director
144,655,same_director
145,553,same_director
150,505,same_director
152,828,same_director
154,174,same_director
155,272,same_director
155,320,same_director
157,168,same_director
161,163,same_director
161,182,same_director
161,298,same_director
161,462,same_director
162,118,same_director
162,268,same_director
162,364,same_director
162,522,same_director
162,587,same_director
162,869,same_director
163,161,same_director
163,182,same_director
163,298,same_director
163,462,same_director
164,918,same_director
164,936,same_director
165,105,same_director
165,196,same_director
165,686,same_director
165,856,same_director
168,157,same_director
169,178,same_director
170,627,same_director
174,154,same_director
177,762,same_director
178,169,same_director
179,606,same_director
180,217,same_director
180,329,same_director
180,330,same_director
180,424,same_director
180,578,same_director
180,594,same_director
180,601,same_director
180,612,same_director
180,640,same_director
180,644,same_director
180,840,same_director
180,857,same_director
180,873,same_director
180,879,same_director
182,161,same_director
182,163,same_director
182,298,same_director
182,462,same_director
184,393,same_director
184,500,same_director
184,680,same_director
185,345,same_director
185,600,same_director
185,694,same_director
185,802,same_director
185,935,same_director
185,967,same_director
187,189,same_director
187,755,same_director
189,187,same_director
189,755,same_director
192,853,same_director
192,978,same_director
196,105,same_director
196,165,same_director
196,686,same_director
196,856,same_director
199,200,same_director
200,199,same_director
203,103,same_director
203,262,same_director
203,524,same_director
203,769,same_director
213,223,same_director
213,303,same_director
213,381,same_director
213,426,same_director
213,506,same_director
213,521,same_director
213,539,same_director
213,567,same_director
213,571,same_director
