source,target,type
100,107,same_production
100,115,same_production
100,268,same_production
100,275,same_production
100,320,same_production
100,397,same_production
100,414,same_production
100,415,same_production
100,509,same_production
100,535,same_production
100,583,same_production
100,687,same_production
100,712,same_production
100,787,same_production
101,300,same_production
103,107,same_production
103,137,same_production
103,235,same_production
103,293,same_production
103,296,same_production
103,387,same_production
103,534,same_production
103,577,same_production
103,587,same_production
103,607,same_production
103,608,same_production
103,617,same_production
103,620,same_production
103,624,same_production
103,650,same_production
103,654,same_production
103,746,same_production
103,782,same_production
103,783,same_production
103,786,same_production
103,791,same_production
103,796,same_production
103,826,same_production
103,840,same_production
103,849,same_production
103,874,same_production
103,935,same_production
103,988,same_production
104,144,same_production
104,387,same_production
104,655,same_production
105,111,same_production
105,134,same_production
105,143,same_production
105,165,same_production
105,179,same_production
105,180,same_production
105,183,same_production
105,196,same_production
105,229,same_production
105,232,same_production
105,245,same_production
105,254,same_production
105,281,same_production
105,297,same_production
105,310,same_production
105,329,same_production
105,330,same_production
105,331,same_production
105,388,same_production
105,424,same_production
105,453,same_production
105,506,same_production
105,508,same_production
105,509,same_production
105,524,same_production
105,525,same_production
105,564,same_production
105,568,same_production
105,573,same_production
105,578,same_production
105,579,same_production
105,580,same_production
105,584,same_production
105,594,same_production
105,601,same_production
105,606,same_production
105,607,same_production
105,608,same_production
105,612,same_production
105,644,same_production
105,664,same_production
105,688,same_production
105,693,same_production
105,766,same_production
105,814,same_production
105,831,same_production
105,837,same_production
105,838,same_production
105,856,same_production
105,857,same_production
105,873,same_production
105,879,same_production
105,888,same_production
105,889,same_production
105,921,same_production
105,924,same_production
105,925,same_production
105,927,same_production
105,928,same_production
105,951,same_production
106,162,same_production
106,167,same_production
106,169,same_production
106,180,same_production
106,249,same_production
106,262,same_production
106,281,same_production
106,290,same_production
106,348,same_production
106,378,same_production
106,379,same_production
106,395,same_production
106,425,same_production
106,435,same_production
106,440,same_production
106,454,same_production
106,496,same_production
106,526,same_production
106,544,same_production
106,551,same_production
106,562,same_production
106,596,same_production
106,597,same_production
106,602,same_production
106,603,same_production
106,604,same_production
106,605,same_production
106,642,same_production
106,651,same_production
106,655,same_production
106,679,same_production
106,705,same_production
106,752,same_production
106,759,same_production
106,768,same_production
106,771,same_production
106,772,same_production
106,788,same_production
106,794,same_production
106,806,same_production
106,824,same_production
106,828,same_production
106,846,same_production
106,869,same_production
106,871,same_production
106,941,same_production
106,942,same_production
106,943,same_production
106,944,same_production
106,950,same_production
106,990,same_production
107,100,same_production
107,103,same_production
107,137,same_production
107,235,same_production
107,293,same_production
107,296,same_production
107,387,same_production
107,534,same_production
107,577,same_production
107,587,same_production
107,607,same_production
107,608,same_production
107,617,same_production
107,620,same_production
107,624,same_production
107,650,same_production
107,654,same_production
107,746,same_production
107,782,same_production
107,783,same_production
107,786,same_production
107,791,same_production
107,796,same_production
107,826,same_production
107,840,same_production
107,849,same_production
107,874,same_production
107,935,same_production
107,988,same_production
111,105,same_production
111,134,same_production
111,143,same_production
111,165,same_production
111,179,same_production
111,183,same_production
111,196,same_production
111,229,same_production
111,232,same_production
111,245,same_production
111,254,same_production
111,281,same_production
111,297,same_production
111,310,same_production
111,329,same_production
111,330,same_production
111,331,same_production
111,388,same_production
111,424,same_production
111,453,same_production
111,506,same_production
111,508,same_production
111,509,same_production
111,524,same_production
111,525,same_production
111,564,same_production
111,568,same_production
111,573,same_production
111,578,same_production
111,579,same_production
111,580,same_production
111,584,same_production
111,601,same_production
111,606,same_production
111,612,same_production
111,664,same_production
111,693,same_production
111,766,same_production
111,814,same_production
111,831,same_production
111,837,same_production
111,838,same_production
111,889,same_production
111,921,same_production
111,924,same_production
111,925,same_production
111,951,same_production
114,134,same_production
114,207,same_production
114,243,same_production
114,320,same_production
114,421,same_production
114,522,same_production
114,547,same_production
114,563,same_production
114,676,same_production
114,754,same_production
114,801,same_production
114,856,same_production
114,921,same_production
115,100,same_production
115,134,same_production
115,179,same_production
115,268,same_production
115,275,same_production
115,290,same_production
115,397,same_production
115,414,same_production
115,415,same_production
115,492,same_production
115,508,same_production
115,509,same_production
115,535,same_production
115,634,same_production
115,687,same_production
115,712,same_production
115,747,same_production
116,180,same_production
116,453,same_production
116,512,same_production
116,565,same_production
116,594,same_production
116,612,same_production
116,644,same_production
116,693,same_production
116,786,same_production
116,808,same_production
116,809,same_production
116,857,same_production
116,926,same_production
116,953,same_production
117,150,same_production
117,152,same_production
117,154,same_production
117,157,same_production
