source,target,type
100,345,similar_movie
100,348,similar_movie
100,107,similar_movie
100,114,similar_movie
100,115,similar_movie
100,137,similar_movie
100,141,similar_movie
100,161,similar_movie
100,170,similar_movie
100,176,similar_movie
100,185,similar_movie
100,201,similar_movie
100,451,similar_movie
100,475,similar_movie
100,500,similar_movie
100,550,similar_movie
100,924,similar_movie
100,935,similar_movie
100,948,similar_movie
100,949,similar_movie
100,984,similar_movie
100,985,similar_movie
100,994,similar_movie
101,103,similar_movie
101,107,similar_movie
101,111,similar_movie
101,115,similar_movie
101,120,similar_movie
101,137,similar_movie
101,141,similar_movie
101,150,similar_movie
101,153,similar_movie
101,154,similar_movie
101,155,similar_movie
101,162,similar_movie
103,107,similar_movie
103,111,similar_movie
103,115,similar_movie
103,120,similar_movie
103,121,similar_movie
103,122,similar_movie
103,150,similar_movie
103,155,similar_movie
103,164,similar_movie
103,170,similar_movie
103,176,similar_movie
103,179,similar_movie
103,180,similar_movie
103,184,similar_movie
104,170,similar_movie
104,184,similar_movie
104,203,similar_movie
104,241,similar_movie
104,242,similar_movie
104,275,similar_movie
104,277,similar_movie
104,297,similar_movie
104,298,similar_movie
104,451,similar_movie
104,503,similar_movie
104,524,similar_movie
104,525,similar_movie
104,539,similar_movie
104,907,similar_movie
104,921,similar_movie
104,170,similar_movie
104,184,similar_movie
104,203,similar_movie
104,241,similar_movie
104,242,similar_movie
104,275,similar_movie
104,277,similar_movie
104,297,similar_movie
104,298,similar_movie
104,451,similar_movie
104,503,similar_movie
104,524,similar_movie
104,525,similar_movie
104,539,similar_movie
105,558,similar_movie
105,562,similar_movie
105,568,similar_movie
105,920,similar_movie
105,954,similar_movie
105,392,similar_movie
105,612,similar_movie
105,621,similar_movie
105,644,similar_movie
105,664,similar_movie
105,672,similar_movie
105,673,similar_movie
105,691,similar_movie
105,707,similar_movie
105,746,similar_movie
105,869,similar_movie
105,871,similar_movie
105,392,similar_movie
105,141,similar_movie
105,162,similar_movie
106,348,similar_movie
107,103,similar_movie
107,111,similar_movie
107,115,similar_movie
107,117,similar_movie
107,120,similar_movie
107,121,similar_movie
107,122,similar_movie
107,137,similar_movie
107,141,similar_movie
107,150,similar_movie
107,161,similar_movie
107,167,similar_movie
107,170,similar_movie
107,176,similar_movie
107,185,similar_movie
107,186,similar_movie
107,203,similar_movie
107,205,similar_movie
107,214,similar_movie
107,215,similar_movie
107,240,similar_movie
107,241,similar_movie
107,242,similar_movie
107,253,similar_movie
107,280,similar_movie
107,479,similar_movie
107,500,similar_movie
107,524,similar_movie
107,550,similar_movie
107,588,similar_movie
107,600,similar_movie
107,921,similar_movie
107,935,similar_movie
107,948,similar_movie
107,949,similar_movie
107,955,similar_movie
107,985,similar_movie
107,393,similar_movie
107,402,similar_movie
107,414,similar_movie
107,431,similar_movie
107,623,similar_movie
107,624,similar_movie
107,627,similar_movie
107,634,similar_movie
107,638,similar_movie
107,646,similar_movie
107,650,similar_movie
107,657,similar_movie
114,115,similar_movie
114,143,similar_movie
114,169,similar_movie
114,184,similar_movie
114,196,similar_movie
114,207,similar_movie
114,218,similar_movie
114,235,similar_movie
114,244,similar_movie
114,251,similar_movie
114,451,similar_movie
114,496,similar_movie
115,754,similar_movie
115,759,similar_movie
115,762,similar_movie
115,764,similar_movie
115,765,similar_movie
115,766,similar_movie
115,793,similar_movie
115,795,similar_movie
115,807,similar_movie
115,306,similar_movie
115,319,similar_movie
115,320,similar_movie
115,345,similar_movie
115,348,similar_movie
115,388,similar_movie
115,402,similar_movie
115,414,similar_movie
115,435,similar_movie
115,619,similar_movie
115,622,similar_movie
115,623,similar_movie
115,624,similar_movie
115,627,similar_movie
117,311,similar_movie
117,638,similar_movie
117,650,similar_movie
117,746,similar_movie
117,497,similar_movie
117,525,similar_movie
117,595,similar_movie
117,769,similar_movie
118,116,similar_movie
118,120,similar_movie
118,121,similar_movie
118,122,similar_movie
118,123,similar_movie
118,134,similar_movie
118,141,similar_movie
118,143,similar_movie
118,170,similar_movie
118,180,similar_movie
118,184,similar_movie
118,185,similar_movie
118,192,similar_movie
118,591,similar_movie
118,595,similar_movie
118,600,similar_movie
118,903,similar_movie
118,907,similar_movie
118,916,similar_movie
118,954,similar_movie
118,963,similar_movie
118,302,similar_movie
118,319,similar_movie
118,322,similar_movie
118,334,similar_movie
118,345,similar_movie
118,350,similar_movie
118,387,similar_movie
118,392,similar_movie
118,411,similar_movie
118,424,similar_movie
118,425,similar_movie
120,235,similar_movie
120,238,similar_movie
120,241,similar_movie
120,251,similar_movie
120,253,similar_movie
120,272,similar_movie
120,278,similar_movie
120,280,similar_movie
120,288,similar_movie
120,289,similar_movie
120,297,similar_movie
120,470,similar_movie
120,479,similar_movie
120,497,similar_movie
120,503,similar_movie
120,510,similar_movie
120,550,similar_movie
120,553,similar_movie
120,557,similar_movie
120,558,similar_movie
120,559,similar_movie
120,562,similar_movie
120,563,similar_movie
120,578,similar_movie
120,581,similar_movie
120,588,similar_movie
120,591,similar_movie
120,595,similar_movie
120,600,similar_movie
120,903,similar_movie
120,907,similar_movie
120,916,similar_movie
120,924,similar_movie
120,942,similar_movie
120,947,similar_movie
120,948,similar_movie
120,955,similar_movie
121,103,similar_movie
121,107,similar_movie
121,111,similar_movie
121,118,similar_movie
121,120,similar_movie
121,122,similar_movie
121,123,similar_movie
121,134,similar_movie
121,143,similar_movie
121,150,similar_movie
121,170,similar_movie
121,176,similar_movie
121,180,similar_movie
121,184,similar_movie
121,185,similar_movie
121,192,similar_movie
121,205,similar_movie
121,214,similar_movie
121,215,similar_movie
121,223,similar_movie
121,227,similar_movie
121,235,similar_movie
121,238,similar_movie
121,241,similar_movie
121,251,similar_movie
121,253,similar_movie
121,278,similar_movie
121,280,similar_movie
121,289,similar_movie
121,479,similar_movie
121,497,similar_movie
121,510,similar_movie
121,534,similar_movie
121,550,similar_movie
121,558,similar_movie
121,562,similar_movie
121,563,similar_movie
121,578,similar_movie
121,581,similar_movie
121,588,similar_movie
121,591,similar_movie
121,595,similar_movie
121,600,similar_movie
121,903,similar_movie
121,907,similar_movie
121,916,similar_movie
121,923,similar_movie
121,924,similar_movie
121,947,similar_movie
121,948,similar_movie
121,954,similar_movie
121,955,similar_movie
121,956,similar_movie
121,963,similar_movie
122,479,similar_movie
122,497,similar_movie
122,510,similar_movie
122,550,similar_movie
122,562,similar_movie
122,563,similar_movie
122,565,similar_movie
122,578,similar_movie
122,581,similar_movie
122,588,similar_movie
122,591,similar_movie
